dateff,mktrf,smb,hml,umd
20080131,-0.063600,-0.009800,0.040100,-0.077500
20080229,-0.030900,-0.004100,-0.008400,0.061000
20080331,-0.009300,0.007700,0.003500,0.042700
20080430,0.046000,-0.017200,-0.010900,-0.003100
20080530,0.018600,0.029500,-0.015300,0.033100
20080630,-0.084400,0.012400,-0.027000,0.127500
20080731,-0.007700,0.025600,0.052700,-0.050700
20080829,0.015300,0.035000,0.014800,-0.040200
20080930,-0.092400,-0.012400,0.059000,0.002800
20081031,-0.172300,-0.025200,-0.022200,0.078500
20081128,-0.078600,-0.028700,-0.063000,0.071700
20081231,0.017400,0.034900,0.000700,-0.050900
20090130,-0.081200,0.001800,-0.111100,-0.021800
20090227,-0.101000,0.001300,-0.069100,0.044100
20090331,0.089500,0.000000,0.033400,-0.118700
20090430,0.101800,0.052800,0.052600,-0.343000
20090529,0.052100,-0.025200,0.003700,-0.124900
20090630,0.004300,0.026600,-0.027200,0.054800
20090731,0.077200,0.018700,0.048400,-0.055800
20090831,0.033300,-0.010800,0.076300,-0.090700
20090930,0.040800,0.024300,0.010400,-0.047900
20091030,-0.025900,-0.043400,-0.042000,0.026100
20091130,0.055600,-0.023900,-0.003300,0.003000
20091231,0.027500,0.060400,-0.001700,0.030200
20100129,-0.033600,0.004000,0.004300,-0.054000
20100226,0.034000,0.011900,0.032200,0.037400
20100331,0.063100,0.014800,0.022100,0.037600
20100430,0.020000,0.048700,0.028900,0.031600
20100528,-0.078900,0.000900,-0.024400,-0.002500
20100630,-0.055700,-0.018100,-0.047000,-0.027600
20100730,0.069300,0.002400,-0.003000,0.018300
20100831,-0.047700,-0.029500,-0.019600,-0.000600
20100930,0.095400,0.039600,-0.031700,0.014100
20101029,0.038800,0.012100,-0.024900,0.015800
20101130,0.006000,0.037700,-0.008800,0.026600
20101231,0.068200,0.006700,0.037800,-0.030300
20110131,0.019900,-0.024400,0.007700,-0.002900
20110228,0.034900,0.014700,0.012400,0.019900
20110331,0.004600,0.025600,-0.018800,0.034000
20110429,0.029000,-0.003200,-0.024800,0.000400
20110531,-0.012700,-0.006500,-0.020000,-0.006200
20110630,-0.017500,-0.001400,-0.003800,0.017800
20110729,-0.023500,-0.012900,-0.009100,0.001600
20110831,-0.059900,-0.030700,-0.024000,-0.002800
20110930,-0.075900,-0.033300,-0.017500,-0.024200
20111031,0.113500,0.033000,0.001200,-0.014300
20111130,-0.002800,-0.001700,-0.004600,0.038500
20111230,0.007400,-0.006000,0.016100,0.018100
20120131,0.050500,0.020600,-0.009400,-0.079300
20120229,0.044200,-0.018600,0.004300,-0.002900
20120330,0.031100,-0.006600,0.011200,0.013000
20120430,-0.008500,-0.004100,-0.007700,0.037500
20120531,-0.061900,0.000900,-0.010600,0.064900
20120629,0.038900,0.006400,0.005900,-0.010600
20120731,0.007900,-0.027200,-0.001200,0.030200
20120831,0.025500,0.004800,0.013000,-0.023700
20120928,0.027300,0.005400,0.015800,-0.011400
20121031,-0.017600,-0.011700,0.035600,0.001400
20121130,0.007800,0.006100,-0.008300,0.004900
20121231,0.011800,0.015200,0.035300,-0.028600
20130131,0.055700,0.003100,0.009500,-0.017900
20130228,0.012900,-0.003300,0.001000,0.012900
20130328,0.040300,0.008300,-0.002300,0.019200
20130430,0.015500,-0.023600,0.005000,0.002200
20130531,0.028000,0.017200,0.026700,-0.020200
20130628,-0.012000,0.013200,0.000500,0.005200
20130731,0.056500,0.018700,0.005700,0.017500
20130830,-0.027100,0.002600,-0.026800,0.000200
20130930,0.037700,0.029000,-0.012300,0.030700
20131031,0.041800,-0.015600,0.012600,0.000800
20131129,0.031300,0.012900,0.002800,0.004400
20131231,0.028100,-0.004600,-0.000100,0.000200
