gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,ceqq,ivltq,ivstq,niq,revtq,glivy,costat
147579,20080331,2008,1,INDL,C,D,STD,NFLX,USD,2008Q1,2008Q1,326.1620,355.4330,5.7000,126.5060,13.3440,326.1830,,A
147579,20080630,2008,2,INDL,C,D,STD,NFLX,USD,2008Q2,2008Q2,359.1540,389.4620,5.7000,169.1750,26.5790,337.6140,,A
147579,20080930,2008,3,INDL,C,D,STD,NFLX,USD,2008Q3,2008Q3,301.3750,324.8330,5.7000,139.3040,20.3710,347.7690,,A
147579,20081231,2008,4,INDL,C,D,STD,NFLX,USD,2008Q4,2008Q4,361.4470,347.1550,5.7000,157.3900,22.7320,359.5950,,A
147579,20090331,2009,1,INDL,C,D,STD,NFLX,USD,2009Q1,2009Q1,364.8800,346.3120,,171.3580,22.3630,394.0980,,A
147579,20090630,2009,2,INDL,C,D,STD,NFLX,USD,2009Q2,2009Q2,342.5640,324.3710,,167.4980,32.4430,408.5090,,A
147579,20090930,2009,3,INDL,C,D,STD,NFLX,USD,2009Q3,2009Q3,234.9620,232.2020,,99.7450,30.1410,423.1200,,A
147579,20091231,2009,4,INDL,C,D,STD,NFLX,USD,2009Q4,2009Q4,411.0130,199.1430,0.0000,186.0180,30.9130,444.5420,,A
147579,20100331,2010,1,INDL,C,D,STD,NFLX,USD,2010Q1,2010Q1,379.5380,146.7350,0.0000,186.4690,32.2720,493.6650,,A
147579,20100630,2010,2,INDL,C,D,STD,NFLX,USD,2010Q2,2010Q2,441.2180,176.6400,0.0000,171.7580,43.5190,519.8190,,A
147579,20100930,2010,3,INDL,C,D,STD,NFLX,USD,2010Q3,2010Q3,492.2470,191.9750,0.0000,143.7050,37.9670,553.2190,,A
147579,20101231,2010,4,INDL,C,D,STD,NFLX,USD,2010Q4,2010Q4,640.9670,290.1640,0.0000,155.8880,47.0950,595.9220,,A
147579,20110331,2011,1,INDL,C,D,STD,NFLX,USD,2011Q1,2011Q1,721.6020,275.7220,0.0000,192.3020,60.2330,718.5530,,A
