gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,ceqq,ivltq,ivstq,niq,revtq,glivy,costat
147579,20140331,2014,1,INDL,C,D,STD,NFLX,USD,2014Q1,2014Q1,3586.7840,1478.3580,0.0000,510.7930,53.1150,1270.0890,,A
147579,20140630,2014,2,INDL,C,D,STD,NFLX,USD,2014Q2,2014Q2,3668.3800,1609.7050,0.0000,500.1210,71.0180,1340.4070,,A
147579,20140930,2014,3,INDL,C,D,STD,NFLX,USD,2014Q3,2014Q3,3823.4820,1724.8740,0.0000,483.6020,59.2950,1409.4320,,A
147579,20141231,2014,4,INDL,C,D,STD,NFLX,USD,2014Q4,2014Q4,3940.4690,1857.7080,0.0000,494.8880,83.3710,1484.7280,,A
147579,20150331,2015,1,INDL,C,D,STD,NFLX,USD,2015Q1,2015Q1,5539.0560,1909.2140,0.0000,502.9310,23.6960,1573.1290,,A
147579,20150630,2015,2,INDL,C,D,STD,NFLX,USD,2015Q2,2015Q2,5600.5100,2032.0750,0.0000,502.8860,26.3350,1644.6940,,A
147579,20150930,2015,3,INDL,C,D,STD,NFLX,USD,2015Q3,2015Q3,5569.7130,2167.3180,0.0000,494.2050,29.4320,1738.3550,,A
147579,20151231,2015,4,INDL,C,D,STD,NFLX,USD,2015Q4,2015Q4,5431.8400,2223.4260,0.0000,501.3850,43.1780,1823.3330,,A
147579,20160331,2016,1,INDL,C,D,STD,NFLX,USD,2016Q1,2016Q1,5543.8360,2317.2330,0.0000,467.2270,27.6580,1957.7360,,A
147579,20160630,2016,2,INDL,C,D,STD,NFLX,USD,2016Q2,2016Q2,5386.9180,2415.8340,0.0000,443.3030,40.7550,2105.2040,,A
147579,20160930,2016,3,INDL,C,D,STD,NFLX,USD,2016Q3,2016Q3,5193.8930,2528.9660,0.0000,374.0980,51.5170,2290.1880,,A
147579,20161231,2016,4,INDL,C,D,STD,NFLX,USD,2016Q4,2016Q4,5720.2910,2679.8000,0.0000,266.2060,66.7480,2477.5410,,A
147579,20170331,2017,1,INDL,C,D,STD,NFLX,USD,2017Q1,2017Q1,5660.3300,2973.6830,0.0000,263.4050,178.2220,2636.6350,,A
147579,20170630,2017,2,INDL,C,D,STD,NFLX,USD,2017Q2,2017Q2,6700.7850,3112.5000,0.0000,246.1250,65.6000,2785.4640,,A
147579,20170930,2017,3,INDL,C,D,STD,NFLX,USD,2017Q3,2017Q3,6385.3480,3327.3610,1.3000,0.0000,129.5900,2984.8590,,A
147579,20171231,2017,4,INDL,C,D,STD,NFLX,USD,2017Q4,2017Q4,7669.9740,3581.9560,1.3000,0.0000,185.5170,3285.7550,,A
147579,20180331,2018,1,INDL,C,D,STD,NFLX,USD,2018Q1,2018Q1,7817.5760,4020.7300,1.2800,0.0000,290.1240,3700.8560,,A
147579,20180630,2018,2,INDL,C,D,STD,NFLX,USD,2018Q2,2018Q2,9346.8890,4496.6000,1.2860,0.0000,384.3490,3907.2700,,A
147579,20180930,2018,3,INDL,C,D,STD,NFLX,USD,2018Q3,2018Q3,8729.9810,5009.6530,1.2910,0.0000,402.8350,3999.3740,,A
147579,20181231,2018,4,INDL,C,D,STD,NFLX,USD,2018Q4,2018Q4,9694.1350,5238.7650,1.2980,0.0000,133.9340,4186.8410,,A
147579,20190331,2019,1,INDL,C,D,STD,NFLX,USD,2019Q1,2019Q1,4168.9070,5703.0580,1.3060,0.0000,344.0520,4520.9920,,A
147579,20190630,2019,2,INDL,C,D,STD,NFLX,USD,2019Q2,2019Q2,5877.1570,6105.5480,1.3130,0.0000,270.6500,4923.1160,,A
147579,20190930,2019,3,INDL,C,D,STD,NFLX,USD,2019Q3,2019Q3,5327.7580,6861.5050,1.3200,0.0000,665.2440,5244.9050,,A
147579,20191231,2019,4,INDL,C,D,STD,NFLX,USD,2019Q4,2019Q4,6178.5040,7582.1570,1.3250,,586.9700,5467.4340,,A
147579,20200331,2020,1,INDL,C,D,STD,NFLX,USD,2020Q1,2020Q1,6447.7810,8409.2940,0.2530,,709.0670,5767.6910,,A
147579,20200630,2020,2,INDL,C,D,STD,NFLX,USD,2020Q2,2020Q2,8564.1390,9334.7530,0.2530,,720.1960,6148.2860,,A
147579,20200930,2020,3,INDL,C,D,STD,NFLX,USD,2020Q3,2020Q3,9826.4800,10333.3230,0.2530,,789.9760,6435.6370,,A
147579,20201231,2020,4,INDL,C,D,STD,NFLX,USD,2020Q4,2020Q4,9761.5800,11065.2400,0.2530,,542.1560,6644.4420,,A
147579,20210331,2021,1,INDL,C,D,STD,NFLX,USD,2021Q1,2021Q1,10107.5080,12884.0800,0.1460,,1706.7150,7163.2820,,A
147579,20210630,2021,2,INDL,C,D,STD,NFLX,USD,2021Q2,2021Q2,9604.2760,13863.8710,0.1460,,1353.0130,7341.7770,,A
147579,20210930,2021,3,INDL,C,D,STD,NFLX,USD,2021Q3,2021Q3,9415.7870,15314.6170,0.1460,,1449.0710,7483.4670,,A
147579,20211231,2021,4,INDL,C,D,STD,NFLX,USD,2021Q4,2021Q4,8069.8250,15849.2480,0.1460,,607.4290,7709.3180,,A
